year,month,day,water_level,time,precipitation,sluice_status
2013,1,1,479.4,7,,close
2013,1,1,479.38,19,,close
2013,1,2,479.37,7,,open a little
2013,1,2,479.36,19,,open a little
2013,1,3,479.36,7,,open a little
2013,1,3,479.36,19,,open a little
2013,1,4,479.33,7,,open normal
2013,1,4,479.33,19,,open normal
2013,1,5,479.33,7,,open normal
2013,1,5,479.3,19,,open normal
2013,1,6,479.3,7,,open normal
2013,1,6,479.3,19,,open normal
2013,1,7,479.3,7,,open normal
2013,1,7,479.3,19,,open normal
2013,1,8,479.3,7,,open normal
2013,1,8,479.29,19,,open normal
2013,1,9,479.29,7,,open normal
2013,1,9,479.25,19,,open normal
2013,1,10,479.25,7,,open normal
2013,1,10,479.21,19,,open normal
2013,1,11,479.21,7,,open normal
2013,1,11,479.18,19,,open normal
2013,1,12,479.18,7,,open normal
2013,1,12,479.16,19,,open normal
2013,1,13,479.16,7,,open normal
2013,1,13,479.15,19,,open normal
2013,1,14,479.15,7,,open normal
2013,1,14,479.13,19,,open normal
2013,1,15,479.13,7,,open normal
2013,1,15,479.09,19,,open normal
2013,1,16,479.09,7,,open normal
2013,1,16,479.06,19,,open normal
2013,1,17,479.06,7,,open normal
2013,1,17,479.02,19,,open normal
2013,1,18,478.98,7,,open normal
2013,1,18,478.96,19,,open normal
2013,1,19,478.94,7,,open normal
2013,1,19,478.91,19,,open normal
2013,1,20,478.91,7,,close
2013,1,20,478.91,19,,close
2013,1,21,478.9,7,,open normal
2013,1,21,478.88,19,,open normal
2013,1,22,478.83,7,,open normal
2013,1,22,478.83,19,,open normal
2013,1,23,478.77,7,,open normal
2013,1,23,478.71,19,,open normal
2013,1,24,478.66,7,,open normal
2013,1,24,478.66,19,,open normal
2013,1,25,478.98,7,,open normal
2013,1,25,478.64,19,,open normal
2013,1,26,478.64,7,,open normal
2013,1,26,478.64,19,,open normal
2013,1,27,478.64,7,,open 2 channels
2013,1,27,478.59,19,,open 2 channels
2013,1,28,478.59,7,,open 2 channels
2013,1,28,478.53,19,,open 2 channels
2013,1,29,478.51,7,,open 2 channels
2013,1,29,478.47,19,,open 2 channels
2013,1,30,478.47,7,9,open normal
2013,1,30,478.44,19,,open normal
2013,1,31,478.46,7,15,close
2013,1,31,478.46,19,,close
2013,2,1,478.46,7,,close
2013,2,1,478.46,19,,close
2013,2,2,478.46,7,,close
2013,2,2,478.48,19,,close
2013,2,3,478.5,7,9,close
2013,2,3,478.5,19,,close
2013,2,4,478.5,7,5,close
2013,2,4,478.5,19,,close
2013,2,5,478.51,7,,open normal
2013,2,5,478.46,19,,open normal
2013,2,6,478.46,7,,open normal
2013,2,6,478.46,19,,open normal
2013,2,7,478.46,7,,open normal
2013,2,7,478.42,19,,open normal
2013,2,8,478.39,7,,open normal
2013,2,8,478.36,19,,open normal
2013,2,9,478.36,7,,close
2013,2,9,478.36,19,,close
2013,2,10,478.36,7,,close
2013,2,10,478.36,19,,close
2013,2,11,478.36,7,,open normal
2013,2,11,478.35,19,,open normal
2013,2,12,478.35,7,,close
2013,2,12,478.35,19,,close
2013,2,13,478.35,7,,close
2013,2,13,478.35,19,,close
2013,2,14,478.35,7,,open normal
2013,2,14,478.31,19,,open normal
2013,2,15,478.31,7,,open normal
2013,2,15,478.25,19,,open normal
2013,2,16,478.23,7,,open normal
2013,2,16,478.18,19,,open normal
2013,2,17,478.13,7,,open normal
2013,2,17,478.08,19,,open normal
2013,2,18,478.03,7,,open normal
2013,2,18,477.98,19,,open normal
2013,2,19,477.98,7,,open normal
2013,2,19,477.93,19,,open normal
2013,2,20,477.93,7,,open normal
2013,2,20,477.9,19,,open normal
2013,2,21,477.87,7,,open normal
2013,2,21,477.81,19,,open normal
2013,2,22,477.81,7,,open normal
2013,2,22,477.76,19,,open normal
2013,2,23,477.71,7,,open normal
2013,2,23,477.67,19,,open normal
2013,2,24,477.67,7,,open normal
2013,2,24,477.65,19,,open normal
2013,2,25,477.65,7,,open normal
2013,2,25,477.63,19,,open normal
2013,2,26,477.63,7,,open normal
