year,month,day,water_level,hour,precipitation,sluice_status
2013,1,1,479.4,7,,C
2013,1,1,479.38,19,,C
2013,1,2,479.37,7,,S
2013,1,2,479.36,19,,S
2013,1,3,479.36,7,,S
2013,1,3,479.36,19,,S
2013,1,4,479.33,7,,O
2013,1,4,479.33,19,,O
2013,1,5,479.33,7,,O
2013,1,5,479.3,19,,O
2013,1,6,479.3,7,,O
2013,1,6,479.3,19,,O
2013,1,7,479.3,7,,O
2013,1,7,479.3,19,,O
2013,1,8,479.3,7,,O
2013,1,8,479.29,19,,O
2013,1,9,479.29,7,,O
2013,1,9,479.25,19,,O
2013,1,10,479.25,7,,O
2013,1,10,479.21,19,,O
2013,1,11,479.21,7,,O
2013,1,11,479.18,19,,O
2013,1,12,479.18,7,,O
2013,1,12,479.16,19,,O
2013,1,13,479.16,7,,O
2013,1,13,479.15,19,,O
2013,1,14,479.15,7,,O
2013,1,14,479.13,19,,O
2013,1,15,479.13,7,,O
2013,1,15,479.09,19,,O
2013,1,16,479.09,7,,O
2013,1,16,479.06,19,,O
2013,1,17,479.06,7,,O
2013,1,17,479.02,19,,O
2013,1,18,478.98,7,,O
2013,1,18,478.96,19,,O
2013,1,19,478.94,7,,O
2013,1,19,478.91,19,,O
2013,1,20,478.91,7,,C
2013,1,20,478.91,19,,C
2013,1,21,478.9,7,,O
2013,1,21,478.88,19,,O
2013,1,22,478.83,7,,O
2013,1,22,478.83,19,,O
2013,1,23,478.77,7,,O
2013,1,23,478.71,19,,O
2013,1,24,478.66,7,,O
2013,1,24,478.66,19,,O
2013,1,25,478.98,7,,O
2013,1,25,478.64,19,,O
2013,1,26,478.64,7,,O
2013,1,26,478.64,19,,O
2013,1,27,478.64,7,,O2
2013,1,27,478.59,19,,O2
2013,1,28,478.59,7,,O2
2013,1,28,478.53,19,,O2
2013,1,29,478.51,7,,O
2013,1,29,478.47,19,,O
2013,1,30,478.47,7,9,O
2013,1,30,478.44,19,,O
2013,1,31,478.46,7,15,C
2013,1,31,478.46,19,,C
2013,2,1,478.46,7,,C
2013,2,1,478.46,19,,C
2013,2,2,478.46,7,,C
2013,2,2,478.48,19,,C
2013,2,3,478.5,7,9,C
2013,2,3,478.5,19,,C
2013,2,4,478.5,7,5,C
2013,2,4,478.5,19,,C
2013,2,5,478.51,7,,O
2013,2,5,478.46,19,,O
2013,2,6,478.46,7,,O
2013,2,6,478.46,19,,O
2013,2,7,478.46,7,,O
2013,2,7,478.42,19,,O
2013,2,8,478.39,7,,O
2013,2,8,478.36,19,,O
2013,2,9,478.36,7,,C
2013,2,9,478.36,19,,C
2013,2,10,478.36,7,,C
2013,2,10,478.36,19,,C
2013,2,11,478.36,7,,O
2013,2,11,478.35,19,,O
2013,2,12,478.35,7,,C
2013,2,12,478.35,19,,C
2013,2,13,478.35,7,,C
2013,2,13,478.35,19,,C
2013,2,14,478.35,7,,O
2013,2,14,478.31,19,,O
2013,2,15,478.31,7,,O
2013,2,15,478.25,19,,O
2013,2,16,478.23,7,,O
2013,2,16,478.18,19,,O
2013,2,17,478.13,7,,O
2013,2,17,478.08,19,,O
2013,2,18,478.03,7,,O
2013,2,18,477.98,19,,O
2013,2,19,477.98,7,,O
2013,2,19,477.93,19,,O
2013,2,20,477.93,7,,O
2013,2,20,477.9,19,,O
2013,2,21,477.87,7,,O
2013,2,21,477.81,19,,O
2013,2,22,477.81,7,,O
2013,2,22,477.76,19,,O
2013,2,23,477.71,7,,O
2013,2,23,477.67,19,,O
2013,2,24,477.67,7,,O
2013,2,24,477.65,19,,O
2013,2,25,477.65,7,,O
2013,2,25,477.63,19,,O
2013,2,26,477.63,7,,O
2013,2,26,477.6,19,,O
2013,2,27,477.56,7,,O
2013,2,27,477.5,19,,O
2013,2,28,477.5,7,,O
2013,2,28,477.45,19,,O
2013,3,1,477.45,7,,O
2013,3,1,477.39,19,,O
2013,3,2,477.39,7,,O
2013,3,2,477.34,19,,O
2013,3,3,477.32,7,,O
2013,3,3,477.3,19,,O
2013,3,4,477.32,7,12,O
2013,3,4,477.32,19,,O
2013,3,5,477.32,7,,O
2013,3,5,477.27,19,,O
2013,3,6,477.27,7,,O
2013,3,6,477.22,19,,O
2013,3,7,477.17,7,,O
2013,3,7,477.12,19,,O
2013,3,8,477.12,7,,O
2013,3,8,477.07,19,,O
2013,3,9,477.07,7,,O
2013,3,9,477.02,19,,O
2013,3,10,477.02,7,,O
2013,3,10,476.98,19,9,O
2013,3,11,476.95,7,,O
2013,3,11,476.91,19,,O
2013,3,12,476.87,7,,O
2013,3,12,476.83,19,,O
2013,3,13,476.79,7,,O
2013,3,13,476.74,19,,O
2013,3,14,476.74,7,,O
2013,3,14,476.68,19,,O
2013,3,15,476.64,7,,O
2013,3,15,476.56,19,,O
2013,3,16,476.52,7,,O
2013,3,16,476.47,19,,O
2013,3,17,476.42,7,,O
2013,3,17,476.4,19,,O
2013,3,18,476.35,7,,O
2013,3,18,476.3,19,,O
2013,3,19,476.26,7,,O
2013,3,19,476.26,19,,O
2013,3,20,476.22,7,,O
2013,3,20,476.22,19,,O
2013,3,21,476.15,7,,O
2013,3,21,476.12,19,,O
2013,3,22,476.05,7,,O
2013,3,22,475.98,19,,O
2013,3,23,475.92,7,,O
2013,3,23,475.92,19,,O
2013,3,24,475.92,7,,O
2013,3,24,475.88,19,,O
2013,3,25,475.88,7,,O
2013,3,25,475.84,19,,O
2013,3,26,475.84,7,,O
2013,3,26,475.8,19,,O
2013,3,27,475.8,7,,O
2013,3,27,475.75,19,,O
2013,3,28,475.71,7,,O
2013,3,28,475.66,19,,O
2013,3,29,475.61,7,,O
2013,3,29,475.56,19,,O
2013,3,30,475.56,7,,O
2013,3,30,475.45,19,,O
2013,3,31,475.4,7,2,O
2013,3,31,475.33,19,,O
2013,4,1,475.26,7,,O
2013,4,1,475.26,19,,C
2013,4,2,475.26,7,20,C
2013,4,2,475.26,19,,O
2013,4,3,475.26,7,,O
2013,4,3,475.21,19,,O
2013,4,4,475.21,7,,O
2013,4,4,475.16,19,,O
2013,4,5,475.16,7,,O
2013,4,5,475.12,19,,O
2013,4,6,475.12,7,,O
2013,4,6,475.06,19,,O
2013,4,7,475.06,7,,O
2013,4,7,475,19,,O
2013,4,8,474.95,7,,O
2013,4,8,474.88,19,,O
2013,4,9,474.88,7,,O
2013,4,9,474.8,19,,O
2013,4,10,474.76,7,,O
2013,4,10,474.68,19,,O
2013,4,11,474.66,7,,O
2013,4,11,474.55,19,,O
2013,4,12,474.46,7,,O
2013,4,12,474.4,19,,O
2013,4,13,474.4,7,,O
2013,4,13,474.34,19,,O
2013,4,14,474.34,7,,O
2013,4,14,474.29,19,,O
2013,4,15,474.25,7,4.5,O
2013,4,15,474.18,19,,O
2013,4,16,474.18,7,8,O
2013,4,16,474.12,19,,O
2013,4,17,474.12,7,13,C
